feature,importance
cons_intron_variant,3513421.9882048666
cons_synonymous_variant,2848549.9715779573
sift,451275.2485487163
cons_frameshift_variant,422624.37011781335
cons_downstream_gene_variant,250963.17224094272
cons_stop_gained,231946.26368611306
cons_upstream_gene_variant,209755.0150796175
cons_3_prime_UTR_variant,207143.36643710732
cons_splice_acceptor_variant,162023.17492910475
cons_splice_donor_5th_base_variant,146620.4558572471
cons_missense_variant,134804.44321584702
cons_splice_donor_variant,124551.65050501376
polyphen,103392.59812014177
cons_splice_donor_region_variant,82469.93129967898
cons_splice_region_variant,74858.02627412975
cons_5_prime_UTR_variant,63250.44208911061
cons_coding_sequence_variant,46410.18644361943
distance,19645.739437937737
cons_inframe_deletion,17029.944056786597
cons_splice_polypyrimidine_tract_variant,16397.781454980373
cons_start_lost,10095.682779327035
cons_inframe_insertion,7604.755960598588
cons_stop_retained_variant,6198.998135209084
cons_non_coding_transcript_exon_variant,4672.211449638009
cons_stop_lost,4066.0265757739544
cons_protein_altering_variant,1274.5171469971538
cons_transcript_ablation,371.6517987251282
cons_non_coding_transcript_variant,233.573476806283
cons_intergenic_variant,91.24388601630926
cons_regulatory_region_ablation,0.0
cons_start_retained_variant,0.0
cons_incomplete_terminal_codon_variant,0.0
cons_NMD_transcript_variant,0.0
cons_mature_miRNA_variant,0.0
cons_regulatory_region_variant,0.0
