feature,importance
cons_splice_acceptor_variant,5.034276344874421
cons_frameshift_variant,4.574919966669991
cons_stop_gained,4.467331566669662
cons_splice_donor_5th_base_variant,4.4339561964682686
cons_splice_donor_variant,4.105470309952213
cons_splice_donor_region_variant,3.4933491047246013
cons_start_lost,3.3607712858387964
cons_coding_sequence_variant,2.4891564396267567
cons_stop_lost,1.8087809125497436
polyphen,1.4333358126968094
cons_protein_altering_variant,1.1396409517984112
cons_splice_region_variant,1.0237081857311319
cons_splice_polypyrimidine_tract_variant,0.6696866068666946
cons_inframe_deletion,0.6249002084125213
cons_non_coding_transcript_variant,0.35042219702269556
cons_transcript_ablation,0.315940185150403
cons_inframe_insertion,0.29333910652522693
cons_regulatory_region_variant,0.04056301978837044
cons_mature_miRNA_variant,0.020411100687444127
cons_regulatory_region_ablation,0.020238378411700172
cons_start_retained_variant,0.018973713913272593
distance,6.604458333037793e-05
cons_incomplete_terminal_codon_variant,-0.015539301580343967
cons_NMD_transcript_variant,-0.030739135969543703
cons_missense_variant,-0.04356521733014836
cons_intergenic_variant,-0.22263080583037761
cons_stop_retained_variant,-0.8999183425486579
cons_downstream_gene_variant,-1.2853890689589305
cons_upstream_gene_variant,-1.3691828178993128
sift,-1.7577720216457855
cons_non_coding_transcript_exon_variant,-2.044779105808654
cons_5_prime_UTR_variant,-2.0714339699990947
cons_3_prime_UTR_variant,-2.5555818391143608
cons_synonymous_variant,-3.406964482261282
cons_intron_variant,-4.065459656213908
