feature,importance
cons_synonymous_variant,0.3820473
cons_intron_variant,0.15090671
cons_frameshift_variant,0.14578362
cons_stop_gained,0.10865698
cons_splice_donor_variant,0.0440997
cons_missense_variant,0.038585562
cons_splice_acceptor_variant,0.038283385
cons_upstream_gene_variant,0.025499552
cons_inframe_deletion,0.021075604
cons_splice_donor_region_variant,0.01348764
cons_splice_donor_5th_base_variant,0.013198969
cons_3_prime_UTR_variant,0.0049472377
cons_inframe_insertion,0.0023025633
sift,0.001959388
cons_downstream_gene_variant,0.0013536891
cons_splice_polypyrimidine_tract_variant,0.0013359936
cons_protein_altering_variant,0.0012106696
cons_start_lost,0.0010414103
cons_stop_lost,0.0008955073
cons_transcript_ablation,0.0008470902
cons_coding_sequence_variant,0.0008386085
cons_splice_region_variant,0.00061386416
cons_5_prime_UTR_variant,0.00045691917
polyphen,0.00020959601
cons_stop_retained_variant,0.00019977817
distance,7.261723e-05
cons_non_coding_transcript_exon_variant,3.952375e-05
cons_start_retained_variant,1.966649e-05
cons_non_coding_transcript_variant,1.865318e-05
cons_intergenic_variant,1.2181319e-05
cons_incomplete_terminal_codon_variant,0.0
cons_NMD_transcript_variant,0.0
cons_mature_miRNA_variant,0.0
cons_regulatory_region_ablation,0.0
cons_regulatory_region_variant,0.0
