task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	eb/10de19	52757	PREPROCESS_VCF (Preprocess: clinvar.vcf)	CACHED	0	2026-05-11 14:37:12.887	49.1s	49.1s	-	-	-	-	-
2	8b/3c05bc	52887	RUN_VEP (Annotate: clinvar.norm.vcf)	CACHED	0	2026-05-11 14:38:02.040	46m 35s	46m 35s	-	-	-	-	-
3	c9/580871	55791	FEATURE_EXTRACTION (Extract: clinvar.vep.vcf)	CACHED	0	2026-05-11 15:24:37.730	53s	52.6s	100.8%	4 GB	4.4 GB	313.8 MB	17.1 MB
4	ce/80edd4	55897	QC_FEATURES (QC: clinvar.features)	CACHED	0	2026-05-11 15:25:30.796	2.3s	1.9s	171.1%	634.3 MB	3.4 GB	56.4 MB	259 KB
5	b6/95968e	55896	SPLIT_DATA (Split: clinvar.features [by chr])	CACHED	0	2026-05-11 15:25:30.790	2.8s	2.5s	141.0%	1.1 GB	4 GB	27 MB	19.9 MB
8	60/a13bb4	56215	TRAIN_MODEL (Train: lgbm on clinvar.train)	CACHED	0	2026-05-11 15:28:13.252	13.2s	12.9s	555.7%	2.5 GB	4.6 GB	39.2 MB	1.7 MB
6	13/a48a90	56080	TRAIN_MODEL (Train: rf on clinvar.train)	CACHED	0	2026-05-11 15:27:12.852	41.3s	40.9s	872.0%	2.5 GB	5.4 GB	39.2 MB	95.4 MB
9	dd/689169	55957	TRAIN_MODEL (Train: lr on clinvar.train)	CACHED	0	2026-05-11 15:25:33.623	1m 39s	1m 39s	960.0%	2.4 GB	4.6 GB	39.3 MB	11.8 KB
7	6b/22361d	56160	TRAIN_MODEL (Train: xgb on clinvar.train)	CACHED	0	2026-05-11 15:27:54.147	19.1s	18.7s	629.1%	2.4 GB	4.7 GB	39.2 MB	6.7 MB
12	11/da7cd5	62639	INFER_VARIANTS (Predict: lr)	COMPLETED	0	2026-05-11 17:14:34.426	4.7s	2.2s	137.6%	492.4 MB	3 GB	23.6 MB	10.2 MB
10	2a/56b27b	62645	INFER_VARIANTS (Predict: lgbm)	COMPLETED	0	2026-05-11 17:14:34.431	5.2s	2.7s	224.2%	507.1 MB	3.6 GB	27.4 MB	10.3 MB
13	29/05f60d	62725	INFER_VARIANTS (Predict: xgb)	COMPLETED	0	2026-05-11 17:14:39.171	2.9s	2.5s	396.4%	504.2 MB	3.6 GB	30.5 MB	8.2 MB
11	30/56bb76	62759	INFER_VARIANTS (Predict: rf)	COMPLETED	0	2026-05-11 17:14:39.658	2.8s	2.4s	294.2%	731.2 MB	4 GB	119.7 MB	10.3 MB
